Current Component,Current Status (verified),Decision,Future Location,Priority
products / brands / customs_categories / pricing_config,"prices stored (converted_price, final_price) AND recomputed by admin CRUD AND snapshotted in orders = 3 representations; stock_status is a label, not stock","MOVE ownership to Catalog; price derived, not stored",ERP / Catalog + Pricing,High
Inventory / stock quantities,does not exist (only stock_status AVAILABLE|LIMITED|OUT_OF_STOCK),NEW inventory_locations / items / movements(append-only) / stocktakes,ERP / Inventory,Critical for ERP
Suppliers / Purchasing,supplier exists only as free text on crm_extracted_products (extraction schema field),"NEW (party_roles=supplier, PR -> PO -> receipt -> supplier invoice, 3-way match)",ERP / Purchasing,High
deliveries + crm_shipments + crm_shipment_cartons,"deliveries 1 per order (order_id UNIQUE) = customer shipping; crm_shipments linked to crm_arrivals only, no customer/product link; cartons replaced by delete+reinsert with new ids","KEEP both + LINK (shipment_package, stable carton ids)",ERP / Shipping,Medium
Returns / RMA,policy promised in UI copy (CartDrawer.tsx:199) with no model or endpoint,NEW,ERP / Sales-Returns,Medium
crm_arrivals vs arrivals,two unrelated entities with the same word; orders.arrival_id -> arrivals (CMS) while crm_extracted_products.arrival_id -> crm_arrivals,RENAME in usage + ADD inbound_arrival_id on order (never drop),ERP / CRM <-> Sales,High
admin resources descriptor (9 CMS resources),server-side descriptor -> 5 routes + allowlist fields + enums + date validation + soft delete + auto audit,KEEP - becomes the ERP screen generator,ERP Core / Admin framework,High
Hero / Trust / Home blocks / Lens-section / Announcements (7 tables),"4 persistence patterns, 4 separate upload paths (JSON dataURL, lensUpload, heroUpload, sourceUpload)",MERGE under cms/* namespace + single media pipeline,ERP / CMS,Medium
stories+news_items vs publications+reels+story_publishers + magazine_drafts,two editorial systems; AI drafts write into news_items; human review stated in UI but not enforced,KEEP both + CLARIFY ownership; enforce review as workflow step,ERP / CMS + Marketing,Medium
settings (7 categories),"PUT cannot create a key, payment_methods value allowlist enforced",KEEP + EXTEND (per-module namespaces),ERP Core / Settings,Medium
"promotions (usage_count, promo_code)",no increment/consumption found anywhere,REFACTOR (real consumption engine),ERP / Marketing,Low-Medium
ai_knowledge,read by assistant; admin read guarded by settings:write -> CONTENT_MANAGER can neither read nor write it (bug),KEEP + FIX permissions (assistant:read/write),ERP / Support-AI,Medium
src/ai-core (16 files) + tests/ai-architecture-boundaries,"provider-neutral contracts, per-capability circuit breaker, preflight schema limits, boundary test forbidding provider URLs/SDK/secrets outside adapters, frozen 2-file allowlist",KEEP untouched (only module to have enforced boundaries),ERP Core / AI,Low (stability)
src/ayrovix (Lens v2),"9 public endpoints, no auth, quota 12/10min per IP only; GET /history excluded from quota; own table + ALTER TABLE outside src/db","KEEP + ADD (session quota, global cap, move table into central schema)",ERP / Sales-Tools,High (cost)
/uploads static (server.ts:171),serves whole data/uploads incl. uploads/invoices/*.pdf (name = INV-<year>-<6 digits>) and uploads/deposits/*,REMOVE the static route; keep /uploads/hero/* only,ERP Core / Documents,CRITICAL - fix before ERP phase
Rate limiter Map + in-process job runner,"per-process counters, sweep 5min; job runner single-process with lease/heartbeat",REFACTOR in last phase (shared counters + worker),ERP Core / Jobs,Medium
crm_schema_migrations,migration framework aware of exactly ONE key (crm_arrival_multistore_v1); + ensureColumn + rebuildTableIfLegacy = 3 coexisting mechanisms,"REFACTOR -> erp_migrations (multi-key, checksum, verified backup gate kept)",ERP Core,High
"tests/ (39 files, 323 cases)",HTTP integration + auth/CSRF/RBAC + pricing + arrival flows + architecture boundary,KEEP as the migration safety net,CI,Critical
"docs/*AUDIT*, docs/*ANALYSIS* (Aug 2026)","describe versions 3.2.1 -> 3.4.1, 4 versions behind current 3.10.4",ARCHIVE - do not cite as current state,docs,Low
